jurisdiction,sex,age,month,year,time_frame,dataset,population,count_alldrug,count_opioid,count_fentanyl,count_heroin,count_stimulant,count_cocaine,count_methamphetamine,count_benzodiazepine,rate_alldrug,rate_opioid,rate_fentanyl,rate_heroin,rate_stimulant,rate_cocaine,rate_methamphetamine,rate_benzodiazepine
US,F,0-14,1,2018,monthly,ED,21648996,1725,46,NA,0,62,suppressed,NA,55,8.0,0.2,NA,0.0,0.3,suppressed,NA,0.3
US,F,0-14,2,2018,monthly,ED,21648996,1623,51,NA,suppressed,79,suppressed,NA,61,7.5,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,F,0-14,3,2018,monthly,ED,21648996,1665,36,NA,0,81,suppressed,NA,62,7.7,0.2,NA,0.0,0.4,suppressed,NA,0.3
US,F,0-14,4,2018,monthly,ED,21648996,1690,50,NA,0,74,suppressed,NA,65,7.8,0.2,NA,0.0,0.3,suppressed,NA,0.3
US,F,0-14,5,2018,monthly,ED,21648996,1824,50,NA,suppressed,71,suppressed,NA,65,8.4,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,6,2018,monthly,ED,21648996,1558,58,NA,suppressed,55,0,NA,53,7.2,0.3,NA,suppressed,0.3,0.0,NA,0.2
US,F,0-14,7,2018,monthly,ED,21648996,1597,56,NA,0,80,suppressed,NA,44,7.4,0.3,NA,0.0,0.4,suppressed,NA,0.2
US,F,0-14,8,2018,monthly,ED,21648996,1731,66,NA,0,77,suppressed,NA,59,8.0,0.3,NA,0.0,0.4,suppressed,NA,0.3
US,F,0-14,9,2018,monthly,ED,21648996,1588,54,NA,suppressed,67,suppressed,NA,64,7.3,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,10,2018,monthly,ED,21648996,1735,60,NA,suppressed,62,suppressed,NA,62,8.0,0.3,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,11,2018,monthly,ED,21648996,1622,47,NA,suppressed,73,0,NA,50,7.5,0.2,NA,suppressed,0.3,0.0,NA,0.2
US,F,0-14,12,2018,monthly,ED,21648996,1610,58,NA,0,68,suppressed,NA,54,7.4,0.3,NA,0.0,0.3,suppressed,NA,0.2
US,F,0-14,all,2018,annual,ED,21648996,19968,632,NA,14,849,18,NA,694,92.2,2.9,NA,suppressed,3.9,suppressed,NA,3.2
US,F,15-24,1,2018,monthly,ED,15141576,1674,421,NA,295,105,29,NA,159,11.1,2.8,NA,1.9,0.7,0.2,NA,1.1
US,F,15-24,2,2018,monthly,ED,15141576,1540,402,NA,270,130,39,NA,153,10.2,2.7,NA,1.8,0.9,0.3,NA,1.0
US,F,15-24,3,2018,monthly,ED,15141576,1738,469,NA,312,111,28,NA,148,11.5,3.1,NA,2.1,0.7,0.2,NA,1.0
US,F,15-24,4,2018,monthly,ED,15141576,1700,439,NA,300,115,25,NA,144,11.2,2.9,NA,2.0,0.8,0.2,NA,1.0
US,F,15-24,5,2018,monthly,ED,15141576,1697,454,NA,301,144,36,NA,134,11.2,3.0,NA,2.0,1.0,0.2,NA,0.9
US,F,15-24,6,2018,monthly,ED,15141576,1573,458,NA,331,119,31,NA,126,10.4,3.0,NA,2.2,0.8,0.2,NA,0.8
US,F,15-24,7,2018,monthly,ED,15141576,1565,442,NA,310,117,30,NA,120,10.3,2.9,NA,2.0,0.8,0.2,NA,0.8
US,F,15-24,8,2018,monthly,ED,15141576,1614,425,NA,282,128,31,NA,143,10.7,2.8,NA,1.9,0.8,0.2,NA,0.9
US,F,15-24,9,2018,monthly,ED,15141576,1733,432,NA,278,131,29,NA,142,11.4,2.9,NA,1.8,0.9,0.2,NA,0.9
US,F,15-24,10,2018,monthly,ED,15141576,1833,457,NA,311,117,30,NA,150,12.1,3.0,NA,2.1,0.8,0.2,NA,1.0
US,F,15-24,11,2018,monthly,ED,15141576,1615,405,NA,247,110,27,NA,143,10.7,2.7,NA,1.6,0.7,0.2,NA,0.9
US,F,15-24,12,2018,monthly,ED,15141576,1606,416,NA,247,135,28,NA,97,10.6,2.7,NA,1.6,0.9,0.2,NA,0.6
US,F,15-24,all,2018,annual,ED,15141576,19888,5220,NA,3484,1462,363,NA,1659,131.3,34.5,NA,23.0,9.7,2.4,NA,11.0
US,F,25-34,1,2018,monthly,ED,16319054,1872,933,NA,696,139,45,NA,153,11.5,5.7,NA,4.3,0.9,0.3,NA,0.9
US,F,25-34,2,2018,monthly,ED,16319054,1778,910,NA,663,146,45,NA,149,10.9,5.6,NA,4.1,0.9,0.3,NA,0.9
US,F,25-34,3,2018,monthly,ED,16319054,2067,1084,NA,788,211,59,NA,139,12.7,6.6,NA,4.8,1.3,0.4,NA,0.9
US,F,25-34,4,2018,monthly,ED,16319054,1967,1013,NA,716,168,41,NA,146,12.1,6.2,NA,4.4,1.0,0.3,NA,0.9
US,F,25-34,5,2018,monthly,ED,16319054,2150,1121,NA,822,175,54,NA,152,13.2,6.9,NA,5.0,1.1,0.3,NA,0.9
US,F,25-34,6,2018,monthly,ED,16319054,2068,1055,NA,755,206,72,NA,141,12.7,6.5,NA,4.6,1.3,0.4,NA,0.9
US,F,25-34,7,2018,monthly,ED,16319054,2186,1092,NA,798,225,76,NA,153,13.4,6.7,NA,4.9,1.4,0.5,NA,0.9
US,F,25-34,8,2018,monthly,ED,16319054,2194,1131,NA,830,190,66,NA,163,13.4,6.9,NA,5.1,1.2,0.4,NA,1.0
US,F,25-34,9,2018,monthly,ED,16319054,2106,1072,NA,746,193,64,NA,171,12.9,6.6,NA,4.6,1.2,0.4,NA,1.0
US,F,25-34,10,2018,monthly,ED,16319054,2063,1077,NA,762,187,55,NA,148,12.6,6.6,NA,4.7,1.1,0.3,NA,0.9
US,F,25-34,11,2018,monthly,ED,16319054,1851,965,NA,677,185,54,NA,126,11.3,5.9,NA,4.1,1.1,0.3,NA,0.8
US,F,25-34,12,2018,monthly,ED,16319054,1956,958,NA,677,167,61,NA,146,12.0,5.9,NA,4.1,1.0,0.4,NA,0.9
US,F,25-34,all,2018,annual,ED,16319054,24258,12411,NA,8930,2192,692,NA,1787,148.6,76.1,NA,54.7,13.4,4.2,NA,11.0
US,F,35-54,1,2018,monthly,ED,30189911,2357,898,NA,497,142,53,NA,250,7.8,3.0,NA,1.6,0.5,0.2,NA,0.8
US,F,35-54,2,2018,monthly,ED,30189911,2245,940,NA,545,176,85,NA,216,7.4,3.1,NA,1.8,0.6,0.3,NA,0.7
US,F,35-54,3,2018,monthly,ED,30189911,2471,1035,NA,602,196,76,NA,252,8.2,3.4,NA,2.0,0.6,0.3,NA,0.8
US,F,35-54,4,2018,monthly,ED,30189911,2424,988,NA,549,187,58,NA,230,8.0,3.3,NA,1.8,0.6,0.2,NA,0.8
US,F,35-54,5,2018,monthly,ED,30189911,2711,1118,NA,643,192,73,NA,252,9.0,3.7,NA,2.1,0.6,0.2,NA,0.8
US,F,35-54,6,2018,monthly,ED,30189911,2670,1137,NA,672,195,72,NA,295,8.8,3.8,NA,2.2,0.6,0.2,NA,1.0
US,F,35-54,7,2018,monthly,ED,30189911,2776,1109,NA,639,203,77,NA,275,9.2,3.7,NA,2.1,0.7,0.3,NA,0.9
US,F,35-54,8,2018,monthly,ED,30189911,2864,1172,NA,675,209,58,NA,295,9.5,3.9,NA,2.2,0.7,0.2,NA,1.0
US,F,35-54,9,2018,monthly,ED,30189911,2702,1090,NA,616,212,76,NA,268,9.0,3.6,NA,2.0,0.7,0.3,NA,0.9
US,F,35-54,10,2018,monthly,ED,30189911,2567,1021,NA,598,167,62,NA,252,8.5,3.4,NA,2.0,0.6,0.2,NA,0.8
US,F,35-54,11,2018,monthly,ED,30189911,2304,942,NA,526,142,44,NA,230,7.6,3.1,NA,1.7,0.5,0.1,NA,0.8
US,F,35-54,12,2018,monthly,ED,30189911,2348,976,NA,538,158,60,NA,225,7.8,3.2,NA,1.8,0.5,0.2,NA,0.7
US,F,35-54,all,2018,annual,ED,30189911,30439,12426,NA,7100,2179,794,NA,3040,100.8,41.2,NA,23.5,7.2,2.6,NA,10.1
US,F,55+,1,2018,monthly,ED,36068626,2224,595,NA,140,29,18,NA,179,6.2,1.6,NA,0.4,0.1,suppressed,NA,0.5
US,F,55+,2,2018,monthly,ED,36068626,1991,547,NA,120,46,16,NA,180,5.5,1.5,NA,0.3,0.1,suppressed,NA,0.5
US,F,55+,3,2018,monthly,ED,36068626,2214,600,NA,128,39,19,NA,194,6.1,1.7,NA,0.4,0.1,suppressed,NA,0.5
US,F,55+,4,2018,monthly,ED,36068626,2179,565,NA,123,36,21,NA,193,6.0,1.6,NA,0.3,0.1,0.1,NA,0.5
US,F,55+,5,2018,monthly,ED,36068626,2278,597,NA,150,39,21,NA,211,6.3,1.7,NA,0.4,0.1,0.1,NA,0.6
US,F,55+,6,2018,monthly,ED,36068626,2258,591,NA,167,50,22,NA,200,6.3,1.6,NA,0.5,0.1,0.1,NA,0.6
US,F,55+,7,2018,monthly,ED,36068626,2251,594,NA,151,53,22,NA,184,6.2,1.6,NA,0.4,0.1,0.1,NA,0.5
US,F,55+,8,2018,monthly,ED,36068626,2441,667,NA,192,54,26,NA,220,6.8,1.8,NA,0.5,0.1,0.1,NA,0.6
US,F,55+,9,2018,monthly,ED,36068626,2173,571,NA,148,39,17,NA,175,6.0,1.6,NA,0.4,0.1,suppressed,NA,0.5
US,F,55+,10,2018,monthly,ED,36068626,2168,594,NA,165,46,24,NA,172,6.0,1.6,NA,0.5,0.1,0.1,NA,0.5
US,F,55+,11,2018,monthly,ED,36068626,2098,587,NA,156,44,23,NA,178,5.8,1.6,NA,0.4,0.1,0.1,NA,0.5
US,F,55+,12,2018,monthly,ED,36068626,2083,558,NA,136,32,17,NA,178,5.8,1.5,NA,0.4,0.1,suppressed,NA,0.5
US,F,55+,all,2018,annual,ED,36068626,26358,7066,NA,1776,507,246,NA,2264,73.1,19.6,NA,4.9,1.4,0.7,NA,6.3
US,M,0-14,1,2018,monthly,ED,22605420,1792,52,NA,suppressed,84,suppressed,NA,70,7.9,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,M,0-14,2,2018,monthly,ED,22605420,1614,58,NA,0,72,suppressed,NA,60,7.1,0.3,NA,0.0,0.3,suppressed,NA,0.3
US,M,0-14,3,2018,monthly,ED,22605420,1729,60,NA,0,88,suppressed,NA,77,7.6,0.3,NA,0.0,0.4,suppressed,NA,0.3
US,M,0-14,4,2018,monthly,ED,22605420,1687,51,NA,0,84,0,NA,68,7.5,0.2,NA,0.0,0.4,0.0,NA,0.3
US,M,0-14,5,2018,monthly,ED,22605420,1776,70,NA,suppressed,85,0,NA,68,7.9,0.3,NA,suppressed,0.4,0.0,NA,0.3
US,M,0-14,6,2018,monthly,ED,22605420,1649,46,NA,suppressed,74,suppressed,NA,66,7.3,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,M,0-14,7,2018,monthly,ED,22605420,1818,56,NA,suppressed,100,suppressed,NA,67,8.0,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,M,0-14,8,2018,monthly,ED,22605420,1745,60,NA,0,91,suppressed,NA,65,7.7,0.3,NA,0.0,0.4,suppressed,NA,0.3
US,M,0-14,9,2018,monthly,ED,22605420,1784,40,NA,0,97,suppressed,NA,58,7.9,0.2,NA,0.0,0.4,suppressed,NA,0.3
US,M,0-14,10,2018,monthly,ED,22605420,1802,63,NA,suppressed,89,suppressed,NA,47,8.0,0.3,NA,suppressed,0.4,suppressed,NA,0.2
US,M,0-14,11,2018,monthly,ED,22605420,1719,56,NA,suppressed,79,suppressed,NA,67,7.6,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,M,0-14,12,2018,monthly,ED,22605420,1663,51,NA,suppressed,80,suppressed,NA,64,7.4,0.2,NA,suppressed,0.4,suppressed,NA,0.3
US,M,0-14,all,2018,annual,ED,22605420,20778,663,NA,12,1023,22,NA,777,91.9,2.9,NA,suppressed,4.5,0.1,NA,3.4
US,M,15-24,1,2018,monthly,ED,15850993,1889,670,NA,467,162,35,NA,218,11.9,4.2,NA,2.9,1.0,0.2,NA,1.4
US,M,15-24,2,2018,monthly,ED,15850993,1922,657,NA,434,156,41,NA,241,12.1,4.1,NA,2.7,1.0,0.3,NA,1.5
US,M,15-24,3,2018,monthly,ED,15850993,1985,701,NA,501,175,39,NA,218,12.5,4.4,NA,3.2,1.1,0.2,NA,1.4
US,M,15-24,4,2018,monthly,ED,15850993,1896,637,NA,445,148,35,NA,209,12.0,4.0,NA,2.8,0.9,0.2,NA,1.3
US,M,15-24,5,2018,monthly,ED,15850993,2122,758,NA,502,192,54,NA,229,13.4,4.8,NA,3.2,1.2,0.3,NA,1.4
US,M,15-24,6,2018,monthly,ED,15850993,1874,745,NA,492,157,43,NA,185,11.8,4.7,NA,3.1,1.0,0.3,NA,1.2
US,M,15-24,7,2018,monthly,ED,15850993,1872,653,NA,409,180,51,NA,194,11.8,4.1,NA,2.6,1.1,0.3,NA,1.2
US,M,15-24,8,2018,monthly,ED,15850993,2035,709,NA,443,160,37,NA,239,12.8,4.5,NA,2.8,1.0,0.2,NA,1.5
US,M,15-24,9,2018,monthly,ED,15850993,2106,745,NA,459,206,49,NA,242,13.3,4.7,NA,2.9,1.3,0.3,NA,1.5
US,M,15-24,10,2018,monthly,ED,15850993,2013,649,NA,391,190,51,NA,231,12.7,4.1,NA,2.5,1.2,0.3,NA,1.5
US,M,15-24,11,2018,monthly,ED,15850993,1830,628,NA,361,162,41,NA,194,11.5,4.0,NA,2.3,1.0,0.3,NA,1.2
US,M,15-24,12,2018,monthly,ED,15850993,1833,595,NA,337,161,52,NA,190,11.6,3.8,NA,2.1,1.0,0.3,NA,1.2
US,M,15-24,all,2018,annual,ED,15850993,23377,8147,NA,5241,2049,528,NA,2590,147.5,51.4,NA,33.1,12.9,3.3,NA,16.3
US,M,25-34,1,2018,monthly,ED,16862626,3182,2004,NA,1495,278,90,NA,195,18.9,11.9,NA,8.9,1.6,0.5,NA,1.2
US,M,25-34,2,2018,monthly,ED,16862626,2951,1838,NA,1384,276,87,NA,163,17.5,10.9,NA,8.2,1.6,0.5,NA,1.0
US,M,25-34,3,2018,monthly,ED,16862626,3312,2072,NA,1544,338,114,NA,180,19.6,12.3,NA,9.2,2.0,0.7,NA,1.1
US,M,25-34,4,2018,monthly,ED,16862626,3175,1958,NA,1433,308,107,NA,187,18.8,11.6,NA,8.5,1.8,0.6,NA,1.1
US,M,25-34,5,2018,monthly,ED,16862626,3554,2246,NA,1653,325,108,NA,187,21.1,13.3,NA,9.8,1.9,0.6,NA,1.1
US,M,25-34,6,2018,monthly,ED,16862626,3334,2157,NA,1540,295,104,NA,176,19.8,12.8,NA,9.1,1.7,0.6,NA,1.0
US,M,25-34,7,2018,monthly,ED,16862626,3496,2124,NA,1523,323,101,NA,192,20.7,12.6,NA,9.0,1.9,0.6,NA,1.1
US,M,25-34,8,2018,monthly,ED,16862626,3538,2212,NA,1600,337,120,NA,186,21.0,13.1,NA,9.5,2.0,0.7,NA,1.1
US,M,25-34,9,2018,monthly,ED,16862626,3325,2151,NA,1518,279,102,NA,170,19.7,12.8,NA,9.0,1.7,0.6,NA,1.0
US,M,25-34,10,2018,monthly,ED,16862626,3295,2073,NA,1451,301,90,NA,166,19.5,12.3,NA,8.6,1.8,0.5,NA,1.0
US,M,25-34,11,2018,monthly,ED,16862626,3090,1975,NA,1348,254,85,NA,157,18.3,11.7,NA,8.0,1.5,0.5,NA,0.9
US,M,25-34,12,2018,monthly,ED,16862626,3142,1890,NA,1293,284,82,NA,192,18.6,11.2,NA,7.7,1.7,0.5,NA,1.1
US,M,25-34,all,2018,annual,ED,16862626,39394,24700,NA,17782,3598,1190,NA,2151,233.6,146.5,NA,105.5,21.3,7.1,NA,12.8
US,M,35-54,1,2018,monthly,ED,29745780,3160,1769,NA,1227,239,108,NA,203,10.6,5.9,NA,4.1,0.8,0.4,NA,0.7
US,M,35-54,2,2018,monthly,ED,29745780,2949,1740,NA,1203,217,91,NA,170,9.9,5.8,NA,4.0,0.7,0.3,NA,0.6
US,M,35-54,3,2018,monthly,ED,29745780,3341,1924,NA,1322,317,144,NA,187,11.2,6.5,NA,4.4,1.1,0.5,NA,0.6
US,M,35-54,4,2018,monthly,ED,29745780,3191,1806,NA,1218,277,116,NA,188,10.7,6.1,NA,4.1,0.9,0.4,NA,0.6
US,M,35-54,5,2018,monthly,ED,29745780,3616,2113,NA,1403,293,126,NA,225,12.2,7.1,NA,4.7,1.0,0.4,NA,0.8
US,M,35-54,6,2018,monthly,ED,29745780,3605,2107,NA,1394,330,143,NA,211,12.1,7.1,NA,4.7,1.1,0.5,NA,0.7
US,M,35-54,7,2018,monthly,ED,29745780,3755,2077,NA,1390,358,145,NA,221,12.6,7.0,NA,4.7,1.2,0.5,NA,0.7
US,M,35-54,8,2018,monthly,ED,29745780,3712,2173,NA,1479,313,115,NA,185,12.5,7.3,NA,5.0,1.1,0.4,NA,0.6
US,M,35-54,9,2018,monthly,ED,29745780,3542,2057,NA,1387,322,115,NA,199,11.9,6.9,NA,4.7,1.1,0.4,NA,0.7
US,M,35-54,10,2018,monthly,ED,29745780,3626,2148,NA,1366,284,100,NA,214,12.2,7.2,NA,4.6,1.0,0.3,NA,0.7
US,M,35-54,11,2018,monthly,ED,29745780,3338,2008,NA,1315,264,108,NA,181,11.2,6.8,NA,4.4,0.9,0.4,NA,0.6
US,M,35-54,12,2018,monthly,ED,29745780,3296,1907,NA,1208,282,120,NA,181,11.1,6.4,NA,4.1,0.9,0.4,NA,0.6
US,M,35-54,all,2018,annual,ED,29745780,41131,23829,NA,15912,3496,1431,NA,2365,138.3,80.1,NA,53.5,11.8,4.8,NA,8.0
US,M,55+,1,2018,monthly,ED,30905973,2132,813,NA,392,74,46,NA,133,6.9,2.6,NA,1.3,0.2,0.1,NA,0.4
US,M,55+,2,2018,monthly,ED,30905973,1950,764,NA,381,59,38,NA,136,6.3,2.5,NA,1.2,0.2,0.1,NA,0.4
US,M,55+,3,2018,monthly,ED,30905973,2231,900,NA,453,79,47,NA,153,7.2,2.9,NA,1.5,0.3,0.2,NA,0.5
US,M,55+,4,2018,monthly,ED,30905973,2242,858,NA,417,83,46,NA,150,7.3,2.8,NA,1.3,0.3,0.1,NA,0.5
US,M,55+,5,2018,monthly,ED,30905973,2456,1026,NA,513,103,67,NA,171,7.9,3.3,NA,1.7,0.3,0.2,NA,0.6
US,M,55+,6,2018,monthly,ED,30905973,2321,1000,NA,521,75,51,NA,111,7.5,3.2,NA,1.7,0.2,0.2,NA,0.4
US,M,55+,7,2018,monthly,ED,30905973,2458,1029,NA,523,90,55,NA,157,8.0,3.3,NA,1.7,0.3,0.2,NA,0.5
US,M,55+,8,2018,monthly,ED,30905973,2569,1120,NA,629,90,46,NA,161,8.3,3.6,NA,2.0,0.3,0.1,NA,0.5
US,M,55+,9,2018,monthly,ED,30905973,2392,1039,NA,571,91,48,NA,148,7.7,3.4,NA,1.8,0.3,0.2,NA,0.5
US,M,55+,10,2018,monthly,ED,30905973,2379,1012,NA,515,102,65,NA,126,7.7,3.3,NA,1.7,0.3,0.2,NA,0.4
US,M,55+,11,2018,monthly,ED,30905973,2112,872,NA,438,68,46,NA,110,6.8,2.8,NA,1.4,0.2,0.1,NA,0.4
US,M,55+,12,2018,monthly,ED,30905973,2285,938,NA,450,79,50,NA,150,7.4,3.0,NA,1.5,0.3,0.2,NA,0.5
US,M,55+,all,2018,annual,ED,30905973,27527,11371,NA,5803,993,605,NA,1706,89.1,36.8,NA,18.8,3.2,2.0,NA,5.5
US,F,0-14,1,2019,monthly,ED,21549130,1566,47,NA,0,76,suppressed,NA,45,7.3,0.2,NA,0.0,0.4,suppressed,NA,0.2
US,F,0-14,2,2019,monthly,ED,21549130,1616,44,NA,0,77,suppressed,NA,52,7.5,0.2,NA,0.0,0.4,suppressed,NA,0.2
US,F,0-14,3,2019,monthly,ED,21549130,1662,46,NA,suppressed,62,suppressed,NA,53,7.7,0.2,NA,suppressed,0.3,suppressed,NA,0.2
US,F,0-14,4,2019,monthly,ED,21549130,1622,47,NA,suppressed,74,suppressed,NA,64,7.5,0.2,NA,suppressed,0.3,suppressed,NA,0.3
US,F,0-14,5,2019,monthly,ED,21549130,1737,46,NA,suppressed,74,suppressed,NA,47,8.1,0.2,NA,suppressed,0.3,suppressed,NA,0.2
US,F,0-14,6,2019,monthly,ED,21549130,1522,48,NA,suppressed,58,suppressed,NA,47,7.1,0.2,NA,suppressed,0.3,suppressed,NA,0.2
US,F,0-14,7,2019,monthly,ED,21549130,1490,52,NA,suppressed,52,suppressed,NA,55,6.9,0.2,NA,suppressed,0.2,suppressed,NA,0.3
US,F,0-14,8,2019,monthly,ED,21549130,1670,43,NA,suppressed,89,suppressed,NA,49,7.7,0.2,NA,suppressed,0.4,suppressed,NA,0.2
US,F,0-14,9,2019,monthly,ED,21549130,1689,43,NA,suppressed,81,suppressed,NA,51,7.8,0.2,NA,suppressed,0.4,suppressed,NA,0.2
US,F,0-14,10,2019,monthly,ED,21549130,1687,59,NA,suppressed,74,suppressed,NA,78,7.8,0.3,NA,suppressed,0.3,suppressed,NA,0.4
US,F,0-14,11,2019,monthly,ED,21549130,1488,47,NA,0,58,suppressed,NA,55,6.9,0.2,NA,0.0,0.3,suppressed,NA,0.3
US,F,0-14,12,2019,monthly,ED,21549130,1559,53,NA,suppressed,78,suppressed,NA,44,7.2,0.2,NA,suppressed,0.4,suppressed,NA,0.2
US,F,0-14,all,2019,annual,ED,21549130,19308,575,NA,12,853,27,NA,640,89.6,2.7,NA,suppressed,4.0,0.1,NA,3.0
US,F,15-24,1,2019,monthly,ED,15093801,1531,347,NA,210,106,22,NA,116,10.1,2.3,NA,1.4,0.7,0.1,NA,0.8
US,F,15-24,2,2019,monthly,ED,15093801,1461,341,NA,204,104,18,NA,121,9.7,2.3,NA,1.4,0.7,suppressed,NA,0.8
US,F,15-24,3,2019,monthly,ED,15093801,1553,373,NA,216,106,19,NA,94,10.3,2.5,NA,1.4,0.7,suppressed,NA,0.6
US,F,15-24,4,2019,monthly,ED,15093801,1692,384,NA,232,106,19,NA,118,11.2,2.5,NA,1.5,0.7,suppressed,NA,0.8
US,F,15-24,5,2019,monthly,ED,15093801,1699,426,NA,252,118,23,NA,124,11.3,2.8,NA,1.7,0.8,0.2,NA,0.8
US,F,15-24,6,2019,monthly,ED,15093801,1596,470,NA,281,122,28,NA,108,10.6,3.1,NA,1.9,0.8,0.2,NA,0.7
US,F,15-24,7,2019,monthly,ED,15093801,1625,459,NA,220,130,35,NA,121,10.8,3.0,NA,1.5,0.9,0.2,NA,0.8
US,F,15-24,8,2019,monthly,ED,15093801,1657,442,NA,233,133,27,NA,120,11.0,2.9,NA,1.5,0.9,0.2,NA,0.8
US,F,15-24,9,2019,monthly,ED,15093801,1769,420,NA,209,137,31,NA,134,11.7,2.8,NA,1.4,0.9,0.2,NA,0.9
US,F,15-24,10,2019,monthly,ED,15093801,1721,407,NA,214,117,30,NA,118,11.4,2.7,NA,1.4,0.8,0.2,NA,0.8
US,F,15-24,11,2019,monthly,ED,15093801,1594,404,NA,192,103,22,NA,116,10.6,2.7,NA,1.3,0.7,0.1,NA,0.8
US,F,15-24,12,2019,monthly,ED,15093801,1713,447,NA,216,127,31,NA,121,11.3,3.0,NA,1.4,0.8,0.2,NA,0.8
US,F,15-24,all,2019,annual,ED,15093801,19611,4920,NA,2679,1409,305,NA,1411,129.9,32.6,NA,17.7,9.3,2.0,NA,9.3
US,F,25-34,1,2019,monthly,ED,16413453,1839,976,NA,664,158,46,NA,127,11.2,5.9,NA,4.0,1.0,0.3,NA,0.8
US,F,25-34,2,2019,monthly,ED,16413453,1760,865,NA,559,177,63,NA,102,10.7,5.3,NA,3.4,1.1,0.4,NA,0.6
US,F,25-34,3,2019,monthly,ED,16413453,1946,989,NA,673,172,59,NA,129,11.9,6.0,NA,4.1,1.0,0.4,NA,0.8
US,F,25-34,4,2019,monthly,ED,16413453,1901,932,NA,638,170,49,NA,101,11.6,5.7,NA,3.9,1.0,0.3,NA,0.6
US,F,25-34,5,2019,monthly,ED,16413453,2057,1033,NA,686,190,45,NA,148,12.5,6.3,NA,4.2,1.2,0.3,NA,0.9
US,F,25-34,6,2019,monthly,ED,16413453,2034,1030,NA,668,175,49,NA,116,12.4,6.3,NA,4.1,1.1,0.3,NA,0.7
US,F,25-34,7,2019,monthly,ED,16413453,2192,1119,NA,707,205,63,NA,152,13.4,6.8,NA,4.3,1.2,0.4,NA,0.9
US,F,25-34,8,2019,monthly,ED,16413453,2194,1114,NA,680,186,56,NA,130,13.4,6.8,NA,4.1,1.1,0.3,NA,0.8
US,F,25-34,9,2019,monthly,ED,16413453,2100,1043,NA,688,196,46,NA,130,12.8,6.4,NA,4.2,1.2,0.3,NA,0.8
US,F,25-34,10,2019,monthly,ED,16413453,2034,1060,NA,671,182,62,NA,132,12.4,6.5,NA,4.1,1.1,0.4,NA,0.8
US,F,25-34,11,2019,monthly,ED,16413453,1999,1003,NA,630,143,42,NA,125,12.2,6.1,NA,3.8,0.9,0.3,NA,0.8
US,F,25-34,12,2019,monthly,ED,16413453,2029,1053,NA,621,172,56,NA,108,12.4,6.4,NA,3.8,1.0,0.3,NA,0.7
US,F,25-34,all,2019,annual,ED,16413453,24085,12217,NA,7885,2126,636,NA,1500,146.7,74.4,NA,48.0,13.0,3.9,NA,9.1
US,F,35-54,1,2019,monthly,ED,30095952,2215,880,NA,495,149,57,NA,192,7.4,2.9,NA,1.6,0.5,0.2,NA,0.6
US,F,35-54,2,2019,monthly,ED,30095952,2158,898,NA,489,156,51,NA,201,7.2,3.0,NA,1.6,0.5,0.2,NA,0.7
US,F,35-54,3,2019,monthly,ED,30095952,2467,976,NA,531,181,76,NA,209,8.2,3.2,NA,1.8,0.6,0.3,NA,0.7
US,F,35-54,4,2019,monthly,ED,30095952,2434,1021,NA,544,198,77,NA,203,8.1,3.4,NA,1.8,0.7,0.3,NA,0.7
US,F,35-54,5,2019,monthly,ED,30095952,2730,1173,NA,657,205,90,NA,211,9.1,3.9,NA,2.2,0.7,0.3,NA,0.7
US,F,35-54,6,2019,monthly,ED,30095952,2684,1082,NA,620,198,71,NA,238,8.9,3.6,NA,2.1,0.7,0.2,NA,0.8
US,F,35-54,7,2019,monthly,ED,30095952,2813,1237,NA,698,222,90,NA,233,9.3,4.1,NA,2.3,0.7,0.3,NA,0.8
US,F,35-54,8,2019,monthly,ED,30095952,2744,1191,NA,626,216,84,NA,225,9.1,4.0,NA,2.1,0.7,0.3,NA,0.7
US,F,35-54,9,2019,monthly,ED,30095952,2661,1137,NA,600,197,72,NA,225,8.8,3.8,NA,2.0,0.7,0.2,NA,0.7
US,F,35-54,10,2019,monthly,ED,30095952,2505,1050,NA,555,180,66,NA,209,8.3,3.5,NA,1.8,0.6,0.2,NA,0.7
US,F,35-54,11,2019,monthly,ED,30095952,2330,1021,NA,530,157,59,NA,172,7.7,3.4,NA,1.8,0.5,0.2,NA,0.6
US,F,35-54,12,2019,monthly,ED,30095952,2464,1043,NA,557,183,81,NA,196,8.2,3.5,NA,1.9,0.6,0.3,NA,0.7
US,F,35-54,all,2019,annual,ED,30095952,30205,12709,NA,6902,2242,874,NA,2514,100.4,42.2,NA,22.9,7.4,2.9,NA,8.4
US,F,55+,1,2019,monthly,ED,36801638,2088,525,NA,132,43,19,NA,162,5.7,1.4,NA,0.4,0.1,suppressed,NA,0.4
US,F,55+,2,2019,monthly,ED,36801638,1931,510,NA,132,29,14,NA,135,5.2,1.4,NA,0.4,0.1,suppressed,NA,0.4
US,F,55+,3,2019,monthly,ED,36801638,2242,597,NA,152,46,22,NA,204,6.1,1.6,NA,0.4,0.1,0.1,NA,0.6
